,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,CallPut,Symbol
501,SMSI201016C00008000,2020-05-13 7:05PM EDT,8.0,0.05,0.0,0.0,0.0,-,-,0,25.00%,call,SMSI
502,SMSI201016C00009000,2020-05-13 3:08PM EDT,9.0,0.15,0.15,0.2,0.0,-,5,36,94.14%,call,SMSI
503,SMSI201016C00010000,2020-05-15 9:45AM EDT,10.0,0.2,0.05,0.15,0.05,+33.33%,1,5,89.06%,call,SMSI
504,SMSI201016C00011000,2020-05-13 7:05PM EDT,11.0,0.15,0.0,0.4,0.0,-,-,2,112.89%,call,SMSI
505,SMSI201016P00002000,2020-03-16 10:29AM EDT,2.0,0.28,0.0,0.2,0.0,-,25,0,95.31%,put,SMSI
506,SMSI201016P00003000,2020-04-24 11:08AM EDT,3.0,0.28,0.35,0.45,0.0,-,1,215,94.92%,put,SMSI
507,SMSI201016P00004000,2020-05-14 2:01PM EDT,4.0,0.85,0.8,0.95,0.0,-,2,122,91.41%,put,SMSI
508,SMSI201016P00005000,2020-04-27 10:42AM EDT,5.0,1.0,1.45,1.6,0.0,-,1,25,90.04%,put,SMSI
509,SMSI201016P00006000,2020-03-25 2:00PM EDT,6.0,2.65,1.45,1.8,0.0,-,-,20,0.00%,put,SMSI
510,SMSI201016P00008000,2020-03-27 5:24AM EDT,8.0,4.2,3.1,3.4,0.0,-,-,5,0.00%,put,SMSI
511,SMSI201016P00009000,2020-04-20 9:34AM EDT,9.0,4.3,4.8,5.1,0.0,-,1,2,81.64%,put,SMSI
512,SMSI210115C00003000,2020-05-08 10:14AM EDT,3.0,1.87,1.6,1.75,0.0,-,21,587,88.09%,call,SMSI
513,SMSI210115C00004000,2020-05-13 11:51AM EDT,4.0,1.2,1.15,1.3,0.0,-,1,112,88.28%,call,SMSI
514,SMSI210115C00005000,2020-05-15 2:06PM EDT,5.0,0.9,0.8,0.95,0.03,+3.45%,20,1807,86.04%,call,SMSI
515,SMSI210115C00006000,2020-05-13 3:04PM EDT,6.0,0.6,0.45,0.95,0.0,-,1,18,89.94%,call,SMSI
516,SMSI210115C00007000,2020-05-13 12:13PM EDT,7.0,0.45,0.3,0.5,0.0,-,100,2494,79.10%,call,SMSI
517,SMSI210115C00008000,2020-05-06 12:42PM EDT,8.0,0.5,0.05,0.7,0.0,-,10,10,86.52%,call,SMSI
518,SMSI210115C00010000,2020-05-13 3:52PM EDT,10.0,0.25,0.1,0.5,0.0,-,2,3393,94.34%,call,SMSI
519,SMSI210115P00003000,2020-05-13 12:19PM EDT,3.0,0.5,0.3,0.6,0.0,-,5,158,80.27%,put,SMSI
520,SMSI210115P00005000,2020-05-12 2:56PM EDT,5.0,1.55,1.6,1.8,0.0,-,2,104,84.18%,put,SMSI
521,SMSI210115P00006000,2020-05-13 10:07AM EDT,6.0,2.35,2.3,2.6,0.0,-,10,11,82.42%,put,SMSI
522,SMSI210115P00007000,2020-05-01 3:49PM EDT,7.0,3.2,3.2,3.4,0.0,-,7,63,83.20%,put,SMSI
523,SMSI210115P00010000,2020-05-05 3:18PM EDT,10.0,5.6,6.0,6.2,0.0,-,2,8,89.45%,put,SMSI
524,SMSI220121C00003000,2020-05-15 1:38PM EDT,3.0,2.15,2.2,2.3,-0.1,-4.44%,36,835,93.07%,call,SMSI
525,SMSI220121C00005000,2020-05-15 1:00PM EDT,5.0,1.35,1.55,1.7,-0.15,-10.00%,1,550,90.53%,call,SMSI
526,SMSI220121C00007000,2020-05-13 3:56PM EDT,7.0,1.2,0.9,1.45,0.0,-,5,215,86.82%,call,SMSI
527,SMSI220121C00010000,2020-05-13 2:59PM EDT,10.0,0.8,0.6,1.8,0.0,-,3,263,104.40%,call,SMSI
528,SMSI220121P00003000,2020-04-02 10:00AM EDT,3.0,1.1,0.75,2.2,0.0,-,1,13,119.92%,put,SMSI
529,SMSI220121P00005000,2020-05-14 9:41AM EDT,5.0,2.3,1.95,2.45,0.0,-,1,301,76.86%,put,SMSI
530,NIO200522C00001500,2020-05-07 11:03AM EDT,1.5,2.05,1.77,1.99,0.0,-,14,7,325.00%,call,NIO
531,NIO200522C00002000,2020-05-15 11:57AM EDT,2.0,1.43,1.37,1.42,-0.04,-2.72%,1,309,268.75%,call,NIO
532,NIO200522C00002500,2020-05-15 2:58PM EDT,2.5,0.89,0.87,0.91,-0.08,-8.25%,14,214,162.50%,call,NIO
533,NIO200522C00003000,2020-05-15 3:59PM EDT,3.0,0.44,0.43,0.54,-0.07,-13.73%,161,632,159.38%,call,NIO
534,NIO200522C00003500,2020-05-15 3:59PM EDT,3.5,0.13,0.13,0.13,-0.05,-27.78%,2752,4962,107.03%,call,NIO
535,NIO200522C00004000,2020-05-15 3:56PM EDT,4.0,0.04,0.03,0.04,-0.02,-33.33%,580,9771,117.19%,call,NIO
536,NIO200522C00004500,2020-05-15 3:45PM EDT,4.5,0.02,0.01,0.02,0.0,-,183,1995,137.50%,call,NIO
537,NIO200522C00005000,2020-05-15 3:51PM EDT,5.0,0.02,0.01,0.02,0.01,+100.00%,45,635,175.00%,call,NIO
538,NIO200522C00005500,2020-05-12 1:21PM EDT,5.5,0.01,0.00,0.01,0.0,-,8,317,175.00%,call,NIO
539,NIO200522C00006000,2020-05-15 3:30PM EDT,6.0,0.02,0.00,0.04,0.0,-,1,10,250.00%,call,NIO
540,NIO200522C00007000,2020-05-12 12:42PM EDT,7.0,0.01,-,-,0.0,-,-,-,0.00%,call,NIO
541,NIO200522P00000500,2020-05-14 12:24PM EDT,0.5,0.03,0.00,0.04,0.0,-,1,17,850.00%,put,NIO
542,NIO200522P00001000,2020-05-13 7:10PM EDT,1.0,0.07,0.00,0.03,0.0,-,1,41,512.50%,put,NIO
543,NIO200522P00001500,2020-05-13 11:10AM EDT,1.5,0.01,0.00,0.03,0.0,-,3,210,356.25%,put,NIO
544,NIO200522P00002000,2020-05-06 11:09AM EDT,2.0,0.02,0.00,0.01,0.0,-,2,260,193.75%,put,NIO
545,NIO200522P00002500,2020-05-15 2:13PM EDT,2.5,0.02,0.01,0.02,-0.01,-33.33%,71,1721,150.00%,put,NIO
546,NIO200522P00003000,2020-05-15 3:57PM EDT,3.0,0.05,0.05,0.06,-0.01,-16.67%,162,2860,112.50%,put,NIO
547,NIO200522P00003500,2020-05-15 3:59PM EDT,3.5,0.23,0.20,0.26,0.0,-,765,2310,89.06%,put,NIO
548,NIO200522P00004000,2020-05-15 3:57PM EDT,4.0,0.64,0.55,0.70,0.06,+10.34%,95,387,148.44%,put,NIO
549,NIO200522P00004500,2020-05-15 2:40PM EDT,4.5,1.14,1.11,1.19,0.08,+7.55%,2,25,146.88%,put,NIO
550,NIO200522P00005000,2020-05-13 3:44PM EDT,5.0,1.59,-,-,0.0,-,-,-,0.00%,put,NIO
551,NIO200522P00005500,2020-05-13 11:48AM EDT,5.5,2.07,1.88,2.19,0.0,-,6,6,279.69%,put,NIO
552,NIO200529C00000500,2020-05-12 12:42PM EDT,0.5,3.13,-,-,0.0,-,-,-,0.00%,call,NIO
553,NIO200529C00001000,2020-05-15 3:02PM EDT,1.0,2.39,0.00,2.61,-0.29,-10.82%,7,7,746.88%,call,NIO
554,NIO200529C00001500,2020-05-13 2:50PM EDT,1.5,1.98,0.00,1.99,0.0,-,1,3,403.13%,call,NIO
555,NIO200529C00002000,2020-05-15 1:31PM EDT,2.0,1.43,0.00,1.48,-0.05,-3.38%,20,91,276.56%,call,NIO
556,NIO200529C00002500,2020-05-15 3:32PM EDT,2.5,0.92,0.53,1.22,-0.02,-2.13%,2,168,81.25%,call,NIO
557,NIO200529C00003000,2020-05-15 3:05PM EDT,3.0,0.49,0.48,0.80,-0.07,-12.50%,221,639,180.47%,call,NIO
558,NIO200529C00003500,2020-05-15 3:56PM EDT,3.5,0.2,0.20,0.21,-0.05,-20.00%,644,3324,102.34%,call,NIO
559,NIO200529C00004000,2020-05-15 3:48PM EDT,4.0,0.07,0.07,0.08,-0.03,-30.00%,801,4368,103.13%,call,NIO
560,NIO200529C00004500,2020-05-15 3:50PM EDT,4.5,0.05,0.04,0.05,0.0,-,219,1841,121.88%,call,NIO
561,NIO200529C00005000,2020-05-15 3:11PM EDT,5.0,0.02,0.02,0.03,-0.02,-50.00%,114,3181,132.81%,call,NIO
562,NIO200529C00005500,2020-05-14 12:48PM EDT,5.5,0.03,0.00,0.02,0.0,-,5,1059,131.25%,call,NIO
563,NIO200529C00006000,2020-05-15 11:51AM EDT,6.0,0.02,0.01,0.02,0.0,-,5,181,162.50%,call,NIO
564,NIO200529C00007000,2020-05-15 11:27AM EDT,7.0,0.01,0.00,0.01,0.0,-,40,11,162.50%,call,NIO
565,NIO200529P00000500,2020-05-04 9:30AM EDT,0.5,0.02,0.0,0.03,0.0,-,-,1,550.00%,put,NIO
566,NIO200529P00001500,2020-05-15 11:25AM EDT,1.5,0.01,0.0,0.01,-0.17,-94.44%,21,10,200.00%,put,NIO
567,NIO200529P00002000,2020-05-14 9:44AM EDT,2.0,0.02,0.0,0.02,0.0,-,8,90,150.00%,put,NIO
568,NIO200529P00002500,2020-05-15 3:56PM EDT,2.5,0.03,0.03,0.04,-0.02,-40.00%,120,9561,126.56%,put,NIO
569,NIO200529P00003000,2020-05-15 3:40PM EDT,3.0,0.1,0.04,0.11,0.01,+11.11%,67,1283,87.50%,put,NIO
570,NIO200529P00003500,2020-05-15 3:01PM EDT,3.5,0.33,0.22,0.34,0.03,+10.00%,57,2898,80.47%,put,NIO
571,NIO200529P00004000,2020-05-15 2:36PM EDT,4.0,0.7,0.53,0.72,-0.03,-4.11%,8,433,110.94%,put,NIO
572,NIO200529P00004500,2020-05-15 2:56PM EDT,4.5,1.15,0.03,1.37,0.01,+0.88%,12,3,225.00%,put,NIO
573,NIO200529P00006000,2020-05-14 10:48AM EDT,6.0,2.64,1.46,2.9,0.0,-,1,17,334.38%,put,NIO
574,NIO200605C00000500,2020-04-27 12:24PM EDT,0.5,3.5,1.77,3.80,0.0,-,-,1,0.00%,call,NIO
575,NIO200605C00001500,2020-05-15 1:21PM EDT,1.5,1.93,1.85,1.92,0.03,+1.58%,20,81,193.75%,call,NIO
576,NIO200605C00002000,2020-05-15 1:48PM EDT,2.0,1.4,1.28,1.44,-0.02,-1.41%,1,92,192.19%,call,NIO
577,NIO200605C00002500,2020-05-15 11:53AM EDT,2.5,0.98,0.91,1.00,-0.06,-5.77%,12,13,135.94%,call,NIO
578,NIO200605C00003000,2020-05-15 3:27PM EDT,3.0,0.55,0.54,0.70,-0.06,-9.84%,126,532,138.28%,call,NIO
579,NIO200605C00003500,2020-05-15 3:53PM EDT,3.5,0.27,0.27,0.30,-0.06,-18.18%,101,746,108.20%,call,NIO
580,NIO200605C00004000,2020-05-15 3:50PM EDT,4.0,0.13,0.11,0.14,-0.04,-23.53%,227,1599,103.13%,call,NIO
581,NIO200605C00004500,2020-05-15 1:12PM EDT,4.5,0.07,0.04,0.11,-0.02,-22.22%,7,1270,114.84%,call,NIO
582,NIO200605C00005000,2020-05-15 9:30AM EDT,5.0,0.05,0.03,0.05,0.0,-,8,505,118.75%,call,NIO
583,NIO200605C00005500,2020-05-13 1:04PM EDT,5.5,0.03,0.00,0.15,0.0,-,6,262,162.50%,call,NIO
584,NIO200605C00006000,2020-05-13 1:18PM EDT,6.0,0.03,0.00,0.13,0.0,-,325,764,175.00%,call,NIO
585,NIO200605C00007000,2020-05-11 3:56PM EDT,7.0,0.05,-,-,0.0,-,-,-,0.00%,call,NIO
586,NIO200605P00001500,2020-05-04 9:30AM EDT,1.5,0.04,0.00,0.05,0.0,-,-,10,215.63%,put,NIO
587,NIO200605P00002000,2020-05-13 3:24PM EDT,2.0,0.02,0.00,0.07,0.0,-,2,3,159.38%,put,NIO
588,NIO200605P00002500,2020-05-15 3:14PM EDT,2.5,0.06,0.06,0.07,-0.01,-14.29%,8,247,123.44%,put,NIO
589,NIO200605P00003000,2020-05-15 2:31PM EDT,3.0,0.16,0.17,0.18,-0.01,-5.88%,182,1519,110.16%,put,NIO
590,NIO200605P00003500,2020-05-15 2:24PM EDT,3.5,0.39,0.38,0.55,0.02,+5.41%,17,1188,124.22%,put,NIO
591,NIO200605P00004000,2020-05-15 2:50PM EDT,4.0,0.77,0.71,0.84,0.05,+6.94%,10,423,110.94%,put,NIO
592,NIO200605P00004500,2020-05-15 11:59AM EDT,4.5,1.2,0.97,2.33,-0.16,-11.76%,2,27,274.22%,put,NIO
593,NIO200605P00005000,2020-05-13 3:48PM EDT,5.0,1.61,-,-,0.0,-,-,-,0.00%,put,NIO
594,NIO200612C00003000,2020-05-15 12:12PM EDT,3.0,0.65,0.56,0.66,0.09,+16.07%,2,104,115.63%,call,NIO
595,NIO200612C00003500,2020-05-15 3:59PM EDT,3.5,0.34,0.34,0.35,-0.06,-15.00%,159,1307,109.38%,call,NIO
596,NIO200612C00004000,2020-05-15 3:46PM EDT,4.0,0.17,0.11,0.19,-0.07,-29.17%,82,575,96.88%,call,NIO
597,NIO200612C00004500,2020-05-15 10:36AM EDT,4.5,0.1,0.08,0.18,-0.03,-23.08%,4,736,120.31%,call,NIO
598,NIO200612C00005000,2020-05-15 11:02AM EDT,5.0,0.07,0.06,0.17,-0.03,-30.00%,2,91,138.28%,call,NIO
599,NIO200612C00005500,2020-05-13 10:04AM EDT,5.5,0.05,0.02,0.05,0.0,-,60,80,115.63%,call,NIO
600,NIO200612C00006500,2020-05-12 11:10AM EDT,6.5,0.06,0.00,0.08,0.0,-,-,2,148.44%,call,NIO
601,NIO200612C00007000,2020-05-12 12:56PM EDT,7.0,0.03,-,-,0.0,-,-,-,0.00%,call,NIO
602,NIO200612P00002000,2020-05-13 12:52PM EDT,2.0,0.08,-,-,0.0,-,-,-,0.00%,put,NIO
603,NIO200612P00002500,2020-05-15 1:31PM EDT,2.5,0.09,0.02,0.14,0.02,+28.57%,10,1,114.06%,put,NIO
604,NIO200612P00003000,2020-05-15 12:13PM EDT,3.0,0.23,0.21,0.32,-0.02,-8.00%,12,1317,123.44%,put,NIO
605,NIO200612P00003500,2020-05-15 12:27PM EDT,3.5,0.47,0.45,0.55,0.11,+30.56%,202,705,116.41%,put,NIO
606,NIO200612P00004000,2020-05-13 11:04AM EDT,4.0,0.75,0.77,1.35,0.0,-,2,12,177.34%,put,NIO
607,NIO200619C00001000,2020-05-05 10:04AM EDT,1.0,2.41,2.28,2.5,0.0,-,3,2,228.13%,call,NIO
608,NIO200619C00001500,2020-04-30 11:19AM EDT,1.5,2.14,1.79,2.01,0.0,-,-,4,171.88%,call,NIO
609,NIO200619C00002000,2020-05-13 1:56PM EDT,2.0,1.49,1.32,1.53,0.0,-,3,6074,137.50%,call,NIO
610,NIO200619C00002500,2020-05-15 12:14PM EDT,2.5,1.04,0.9,1.11,-0.02,-1.89%,55,3176,125.00%,call,NIO
611,NIO200619C00003000,2020-05-15 3:11PM EDT,3.0,0.68,0.66,0.74,0.01,+1.49%,1575,3729,128.13%,call,NIO
612,NIO200619C00003500,2020-05-15 3:53PM EDT,3.5,0.4,0.39,0.42,-0.06,-13.04%,198,6549,112.11%,call,NIO
613,NIO200619C00004000,2020-05-15 3:52PM EDT,4.0,0.23,0.23,0.25,-0.06,-20.69%,701,10485,110.55%,call,NIO
614,NIO200619C00004500,2020-05-15 3:00PM EDT,4.5,0.16,0.13,0.15,-0.02,-11.11%,135,19932,110.16%,call,NIO
615,NIO200619C00005000,2020-05-15 3:06PM EDT,5.0,0.09,0.08,0.1,-0.03,-25.00%,189,7733,114.06%,call,NIO
616,NIO200619C00005500,2020-05-15 10:15AM EDT,5.5,0.08,0.07,0.08,-0.02,-20.00%,100,3586,124.22%,call,NIO
617,NIO200619C00006000,2020-05-15 1:03PM EDT,6.0,0.04,0.04,0.05,-0.03,-42.86%,16,692,123.44%,call,NIO
618,NIO200619P00000500,2020-04-30 11:19AM EDT,0.5,0.02,0.0,0.03,0.0,-,-,1,337.50%,put,NIO
619,NIO200619P00001000,2020-05-11 10:49AM EDT,1.0,0.01,0.0,0.03,0.0,-,100,125,218.75%,put,NIO
620,NIO200619P00001500,2020-05-15 3:51PM EDT,1.5,0.02,0.02,0.03,0.0,-,75,83,165.63%,put,NIO
621,NIO200619P00002000,2020-05-15 2:53PM EDT,2.0,0.06,0.05,0.15,-0.01,-14.29%,6,2995,165.63%,put,NIO
622,NIO200619P00002500,2020-05-15 3:25PM EDT,2.5,0.13,0.13,0.14,0.0,-,104,5224,125.00%,put,NIO
623,NIO200619P00003000,2020-05-15 3:53PM EDT,3.0,0.28,0.23,0.3,-0.01,-3.45%,229,6668,110.16%,put,NIO
624,NIO200619P00003500,2020-05-15 3:36PM EDT,3.5,0.54,0.48,0.56,0.01,+1.89%,56,5778,108.59%,put,NIO
625,NIO200619P00004000,2020-05-15 3:51PM EDT,4.0,0.86,0.86,0.9,0.03,+3.61%,101,1589,113.28%,put,NIO
626,NIO200619P00004500,2020-05-15 11:59AM EDT,4.5,1.26,1.27,1.3,0.04,+3.28%,2,147,114.84%,put,NIO
627,NIO200619P00005000,2020-05-15 9:58AM EDT,5.0,1.69,1.71,1.76,0.0,-,1,670,119.53%,put,NIO
628,NIO200619P00005500,2020-05-08 9:30AM EDT,5.5,2.0,2.09,2.22,0.0,-,9,12,96.88%,put,NIO
629,NIO200619P00006000,2020-05-15 10:45AM EDT,6.0,2.64,2.58,2.73,0.01,+0.38%,10,39,109.38%,put,NIO
630,NIO200626C00001500,2020-05-11 3:11PM EDT,1.5,2.3,0.0,4.65,0.0,-,1,2,403.13%,call,NIO
631,NIO200626C00002500,2020-05-08 9:50AM EDT,2.5,1.3,0.68,1.15,0.0,-,10,10,76.56%,call,NIO
632,NIO200626C00003000,2020-05-14 1:05PM EDT,3.0,0.8,0.71,1.5,0.0,-,60,-,218.36%,call,NIO
633,NIO200626C00003500,2020-05-15 12:53PM EDT,3.5,0.47,0.43,0.51,-0.01,-2.08%,28,870,116.80%,call,NIO
634,NIO200626C00004000,2020-05-15 2:36PM EDT,4.0,0.3,0.2,0.39,-0.02,-6.25%,11,221,113.28%,call,NIO
635,NIO200626C00004500,2020-05-15 2:37PM EDT,4.5,0.18,0.08,0.26,-0.04,-18.18%,11,138,108.59%,call,NIO
636,NIO200626C00005000,2020-05-14 3:02PM EDT,5.0,0.15,0.1,0.15,0.0,-,57,152,114.84%,call,NIO
637,NIO200626C00006000,2020-05-12 11:31AM EDT,6.0,0.14,0.03,0.46,0.0,-,-,0,181.64%,call,NIO
638,NIO200626C00007000,2020-05-12 12:04PM EDT,7.0,0.2,0.04,0.07,0.0,-,-,0,139.06%,call,NIO
639,NIO200626P00002500,2020-05-15 3:56PM EDT,2.5,0.19,0.11,0.19,0.0,-,51,279,118.75%,put,NIO
640,NIO200626P00003000,2020-05-14 12:50PM EDT,3.0,0.3,0.07,0.35,0.0,-,10,0,86.33%,put,NIO
641,NIO200626P00003500,2020-05-15 11:09AM EDT,3.5,0.58,0.53,0.66,-0.05,-7.94%,15,342,115.63%,put,NIO
642,NIO200626P00004000,2020-05-13 12:25PM EDT,4.0,1.0,0.34,1.61,0.0,-,1,12,125.00%,put,NIO
643,NIO200821C00000500,2020-05-13 12:29PM EDT,0.5,2.89,2.86,2.96,0.0,-,3,153,243.75%,call,NIO
644,NIO200821C00001000,2020-05-13 11:52AM EDT,1.0,2.48,2.31,2.52,0.0,-,1,99,160.94%,call,NIO
645,NIO200821C00001500,2020-05-13 11:07AM EDT,1.5,2.1,1.86,2.08,0.0,-,3,299,139.06%,call,NIO
646,NIO200821C00002000,2020-05-15 11:59AM EDT,2.0,1.6,1.56,1.68,0.06,+3.90%,4,985,140.63%,call,NIO
647,NIO200821C00002500,2020-05-15 3:50PM EDT,2.5,1.22,1.21,1.26,-0.08,-6.15%,26,2893,121.88%,call,NIO
648,NIO200821C00003000,2020-05-15 3:20PM EDT,3.0,0.94,0.93,0.97,-0.05,-5.05%,99,6345,116.41%,call,NIO
649,NIO200821C00003500,2020-05-15 3:59PM EDT,3.5,0.74,0.72,0.77,-0.05,-6.33%,209,6135,116.02%,call,NIO
650,NIO200821C00004000,2020-05-15 3:45PM EDT,4.0,0.57,0.57,0.58,-0.04,-6.56%,217,8828,114.45%,call,NIO
651,NIO200821C00004500,2020-05-15 2:35PM EDT,4.5,0.44,0.43,0.45,-0.03,-6.38%,202,4762,112.89%,call,NIO
652,NIO200821C00005000,2020-05-15 3:46PM EDT,5.0,0.34,0.33,0.35,-0.04,-10.53%,130,35813,111.91%,call,NIO
653,NIO200821C00005500,2020-05-15 2:57PM EDT,5.5,0.27,0.26,0.28,-0.04,-12.90%,5,588,112.50%,call,NIO
654,NIO200821C00006000,2020-05-15 2:54PM EDT,6.0,0.2,0.2,0.22,-0.02,-9.09%,58,44409,111.72%,call,NIO
655,NIO200821C00007000,2020-05-14 10:36AM EDT,7.0,0.15,0.13,0.15,0.0,-,21,9896,113.67%,call,NIO
656,NIO200821C00008000,2020-05-14 12:53PM EDT,8.0,0.12,0.08,0.15,0.0,-,10,1761,120.31%,call,NIO
657,NIO200821C00009000,2020-05-15 3:02PM EDT,9.0,0.07,0.05,0.08,0.0,-,3,3919,115.63%,call,NIO
658,NIO200821C00010000,2020-05-15 11:51AM EDT,10.0,0.06,0.05,0.07,0.0,-,9,6537,121.88%,call,NIO
659,NIO200821P00000500,2020-05-15 10:08AM EDT,0.5,0.02,0.01,0.03,0.0,-,1,1214,212.50%,put,NIO
660,NIO200821P00001000,2020-05-15 1:42PM EDT,1.0,0.05,0.05,0.07,-0.02,-28.57%,200,13962,171.88%,put,NIO
661,NIO200821P00001500,2020-05-15 3:02PM EDT,1.5,0.12,0.11,0.13,-0.03,-20.00%,30,2390,147.66%,put,NIO
662,NIO200821P00002000,2020-05-15 2:33PM EDT,2.0,0.22,0.22,0.25,-0.03,-12.00%,80,10099,136.72%,put,NIO
663,NIO200821P00002500,2020-05-15 3:00PM EDT,2.5,0.4,0.32,0.43,-0.03,-6.98%,15,20185,123.83%,put,NIO
664,NIO200821P00003000,2020-05-15 2:23PM EDT,3.0,0.6,0.57,0.66,-0.03,-4.76%,93,27244,122.27%,put,NIO
665,NIO200821P00003500,2020-05-15 2:15PM EDT,3.5,0.89,0.88,0.92,0.02,+2.30%,97,8104,119.92%,put,NIO
666,NIO200821P00004000,2020-05-15 3:47PM EDT,4.0,1.23,1.21,1.25,0.12,+10.81%,86,11013,118.16%,put,NIO
667,NIO200821P00004500,2020-05-15 3:17PM EDT,4.5,1.6,1.55,1.63,-0.01,-0.62%,19,1694,115.63%,put,NIO
668,NIO200821P00005000,2020-05-15 10:57AM EDT,5.0,2.01,1.95,2.03,0.2,+11.05%,26,10400,115.04%,put,NIO
669,NIO200821P00005500,2020-05-06 3:43PM EDT,5.5,2.33,2.33,2.52,0.0,-,-,1,116.60%,put,NIO
670,NIO200821P00006000,2020-05-15 10:58AM EDT,6.0,2.88,2.81,2.91,0.0,-,1,32866,115.63%,put,NIO
671,NIO200821P00007000,2020-05-12 2:50PM EDT,7.0,3.54,3.75,3.85,0.0,-,1,246,120.31%,put,NIO
672,NIO200821P00008000,2020-04-24 10:29AM EDT,8.0,5.15,4.7,4.8,0.0,-,6,20,121.48%,put,NIO
673,NIO200821P00009000,2020-05-07 3:32PM EDT,9.0,5.55,5.65,5.8,0.0,-,1,2637,125.00%,put,NIO
674,NIO200821P00010000,2020-05-15 3:57PM EDT,10.0,6.7,6.6,6.75,0.05,+0.75%,20,2810,115.63%,put,NIO
675,NIO201120C00000500,2020-05-08 1:29PM EDT,0.5,3.25,2.79,3.05,0.0,-,1,30,184.38%,call,NIO
676,NIO201120C00001000,2020-05-15 1:17PM EDT,1.0,2.52,2.3,2.62,-0.02,-0.79%,8,1182,138.28%,call,NIO
677,NIO201120C00001500,2020-05-14 3:47PM EDT,1.5,2.18,1.98,2.19,0.0,-,200,268,131.25%,call,NIO
678,NIO201120C00002000,2020-05-14 9:54AM EDT,2.0,1.7,1.65,1.87,0.0,-,3,604,126.17%,call,NIO
679,NIO201120C00002500,2020-05-15 3:55PM EDT,2.5,1.5,1.41,1.56,-0.25,-14.29%,21,929,122.46%,call,NIO
680,NIO201120C00003000,2020-05-15 1:41PM EDT,3.0,1.28,1.25,1.29,-0.01,-0.78%,82,1125,121.88%,call,NIO
681,NIO201120C00003500,2020-05-15 3:31PM EDT,3.5,1.06,1.05,1.08,-0.04,-3.64%,50,1996,118.16%,call,NIO
682,NIO201120C00004000,2020-05-15 2:55PM EDT,4.0,0.9,0.85,0.92,-0.05,-5.26%,208,3431,114.65%,call,NIO
683,NIO201120C00004500,2020-05-15 2:27PM EDT,4.5,0.77,0.72,0.78,-0.03,-3.75%,16,3640,113.28%,call,NIO
684,NIO201120C00005000,2020-05-15 2:31PM EDT,5.0,0.63,0.6,0.66,-0.02,-3.08%,56,1568,111.33%,call,NIO
685,NIO201120C00005500,2020-05-13 1:28PM EDT,5.5,0.59,0.51,0.57,0.0,-,11,1790,110.94%,call,NIO
686,NIO201120C00006000,2020-05-15 2:36PM EDT,6.0,0.48,0.42,0.52,-0.04,-7.69%,20,824,110.94%,call,NIO
687,NIO201120C00007000,2020-05-12 2:19PM EDT,7.0,0.45,0.31,0.38,0.0,-,25,650,109.38%,call,NIO
688,NIO201120C00008000,2020-05-12 10:31AM EDT,8.0,0.32,0.23,0.29,0.0,-,2,562,108.59%,call,NIO
689,NIO201120C00009000,2020-05-11 2:36PM EDT,9.0,0.28,0.12,0.23,0.0,-,10,144,104.30%,call,NIO
690,NIO201120P00000500,2020-05-13 10:16AM EDT,0.5,0.02,0.0,0.06,0.0,-,5,156,164.06%,put,NIO
691,NIO201120P00001000,2020-05-14 2:19PM EDT,1.0,0.13,0.11,0.14,0.0,-,3,10785,153.13%,put,NIO
692,NIO201120P00001500,2020-05-14 9:37AM EDT,1.5,0.27,0.24,0.29,0.0,-,2,1862,143.75%,put,NIO
693,NIO201120P00002000,2020-05-15 12:47PM EDT,2.0,0.46,0.42,0.47,0.02,+4.55%,40,1192,135.74%,put,NIO
694,NIO201120P00002500,2020-05-15 3:10PM EDT,2.5,0.69,0.63,0.74,0.06,+9.52%,11,1994,132.42%,put,NIO
695,NIO201120P00003000,2020-05-15 1:04PM EDT,3.0,0.94,0.93,0.98,-0.06,-6.00%,31,2124,128.52%,put,NIO
696,NIO201120P00003500,2020-05-12 10:22AM EDT,3.5,1.16,1.23,1.29,0.0,-,1,486,125.59%,put,NIO
697,NIO201120P00004000,2020-05-15 3:51PM EDT,4.0,1.6,1.54,1.65,-0.05,-3.03%,17,182,123.05%,put,NIO
698,NIO201120P00004500,2020-05-08 3:45PM EDT,4.5,1.83,1.92,1.99,0.0,-,1,159,121.09%,put,NIO
699,NIO201120P00005000,2020-05-06 11:09AM EDT,5.0,2.26,2.3,2.4,0.0,-,1,314,120.70%,put,NIO
700,NIO201120P00005500,2020-04-20 12:00AM EDT,5.5,3.05,2.71,2.89,0.0,-,-,51,124.61%,put,NIO
701,NIO201120P00006000,2020-05-14 11:52AM EDT,6.0,3.19,3.15,3.25,0.0,-,30,175,121.88%,put,NIO
702,NIO201120P00007000,2020-05-15 1:20PM EDT,7.0,4.03,4.0,4.1,-0.02,-0.49%,5,11,118.16%,put,NIO
703,NIO201120P00008000,2020-03-17 10:22AM EDT,8.0,5.6,4.95,5.25,0.0,-,-,2,134.18%,put,NIO
704,NIO210115C00000500,2020-05-15 3:57PM EDT,0.5,2.95,2.85,3.05,-0.02,-0.67%,4,757,185.16%,call,NIO
705,NIO210115C00001000,2020-05-15 3:32PM EDT,1.0,2.5,2.5,2.65,0.05,+2.04%,11,2060,161.33%,call,NIO
